report_id,inspection_id,damage_type,severity,estimated_cost,part_affected,image_count
REP000001,INSP000001,Scratch,3,511.36,Right Rear Fender,3
REP000002,INSP000002,Rust,5,2909.0,Right Rear Door,4
REP000003,INSP000002,Paint Damage,5,4155.69,Hood,4
REP000004,INSP000003,Crack,4,2810.43,Right Front Fender,5
REP000005,INSP000003,Scratch,2,339.91,Trunk,4
REP000006,INSP000005,Rust,3,1323.52,Left Rear Door,3
REP000007,INSP000005,Bumper Damage,3,3584.7,Left Front Door,3
REP000008,INSP000006,Crack,2,1159.77,Rear Window,1
REP000009,INSP000006,Scratch,3,523.91,Rear Bumper,5
REP000010,INSP000006,Paint Damage,4,3721.86,Right Front Fender,4
REP000011,INSP000007,Dent,3,1155.72,Trunk,1
REP000012,INSP000009,Glass Damage,3,3330.49,Rear Window,3
REP000013,INSP000009,Bumper Damage,5,4905.23,Left Front Door,4
REP000014,INSP000009,Crack,3,1791.02,Right Front Fender,1
REP000015,INSP000009,Structural Damage,4,10858.87,Right Front Door,4
REP000016,INSP000011,Bumper Damage,4,4680.97,Rear Window,1
REP000017,INSP000013,Dent,3,1200.13,Rear Bumper,5
REP000018,INSP000013,Paint Damage,5,3261.01,Left Rear Fender,2
REP000019,INSP000015,Paint Damage,1,784.14,Left Rear Door,2
REP000020,INSP000015,Paint Damage,5,3291.74,Right Front Door,3
REP000021,INSP000016,Bumper Damage,5,5079.03,Roof,3
REP000022,INSP000016,Bumper Damage,5,6094.47,Left Front Fender,5
REP000023,INSP000016,Crack,2,1196.04,Right Front Door,4
REP000024,INSP000017,Scratch,4,663.81,Trunk,4
REP000025,INSP000018,Crack,1,518.34,Left Rear Fender,1
REP000026,INSP000020,Paint Damage,5,3736.24,Trunk,1
REP000027,INSP000020,Dent,2,875.21,Left Rear Fender,2
REP000028,INSP000021,Bumper Damage,3,3519.64,Left Rear Door,1
REP000029,INSP000021,Rust,2,811.99,Left Rear Fender,2
REP000030,INSP000026,Structural Damage,3,9167.28,Right Front Door,1
REP000031,INSP000026,Dent,3,1291.81,Hood,5
REP000032,INSP000026,Paint Damage,4,3824.29,Windshield,5
REP000033,INSP000030,Dent,2,730.43,Left Front Fender,3
REP000034,INSP000031,Paint Damage,3,2102.5,Hood,3
REP000035,INSP000031,Crack,1,544.3,Roof,3
REP000036,INSP000032,Rust,3,1749.51,Left Front Door,1
REP000037,INSP000032,Rust,2,897.64,Windshield,3
REP000038,INSP000032,Paint Damage,4,2773.07,Right Rear Fender,5
REP000039,INSP000032,Dent,1,362.32,Hood,3
REP000040,INSP000033,Rust,4,1927.88,Left Front Fender,5
REP000041,INSP000033,Glass Damage,1,889.02,Right Front Fender,4
REP000042,INSP000033,Dent,3,1192.59,Windshield,4
REP000043,INSP000037,Structural Damage,1,2693.74,Front Bumper,5
REP000044,INSP000042,Paint Damage,1,779.88,Windshield,1
REP000045,INSP000042,Glass Damage,2,2330.69,Front Bumper,1
REP000046,INSP000043,Rust,5,2006.45,Right Rear Fender,4
REP000047,INSP000043,Structural Damage,3,9736.03,Right Rear Fender,1
REP000048,INSP000043,Scratch,3,666.04,Right Rear Fender,3
REP000049,INSP000047,Paint Damage,3,2682.97,Windshield,4
REP000050,INSP000047,Structural Damage,1,2761.71,Rear Bumper,1
REP000051,INSP000049,Glass Damage,3,3242.34,Windshield,4
REP000052,INSP000049,Rust,2,939.68,Rear Bumper,5
REP000053,INSP000051,Structural Damage,2,6152.54,Trunk,1
REP000054,INSP000051,Structural Damage,1,2708.42,Left Front Door,2
REP000055,INSP000052,Crack,2,1091.95,Right Front Door,4
REP000056,INSP000052,Paint Damage,1,944.73,Left Front Fender,1
REP000057,INSP000053,Bumper Damage,1,1142.38,Front Bumper,1
REP000058,INSP000055,Dent,2,923.13,Right Rear Fender,4
REP000059,INSP000055,Rust,2,851.17,Windshield,4
REP000060,INSP000056,Glass Damage,3,3430.57,Rear Window,2
REP000061,INSP000056,Rust,5,2306.93,Right Front Fender,3
REP000062,INSP000057,Scratch,2,404.67,Right Rear Door,5
REP000063,INSP000057,Structural Damage,1,2622.02,Rear Bumper,4
REP000064,INSP000057,Paint Damage,2,1518.52,Windshield,2
REP000065,INSP000058,Dent,1,385.3,Left Rear Fender,5
REP000066,INSP000058,Crack,3,1602.33,Roof,2
REP000067,INSP000058,Crack,2,1081.58,Right Front Fender,5
REP000068,INSP000060,Paint Damage,1,679.11,Right Rear Fender,4
REP000069,INSP000060,Paint Damage,1,829.16,Right Front Fender,1
REP000070,INSP000060,Rust,1,534.53,Roof,4
REP000071,INSP000060,Bumper Damage,5,5989.31,Right Front Door,2
REP000072,INSP000060,Crack,1,684.52,Left Rear Fender,5
REP000073,INSP000061,Bumper Damage,5,6472.05,Right Front Fender,2
REP000074,INSP000061,Glass Damage,1,1004.32,Left Front Fender,5
REP000075,INSP000061,Crack,3,2152.33,Rear Window,3
REP000076,INSP000061,Dent,1,435.55,Rear Window,5
REP000077,INSP000061,Structural Damage,4,11357.2,Left Front Fender,1
REP000078,INSP000062,Glass Damage,4,3252.8,Front Bumper,5
REP000079,INSP000063,Crack,5,3444.77,Right Front Fender,3
REP000080,INSP000064,Structural Damage,5,13983.71,Roof,3
REP000081,INSP000064,Rust,2,1033.39,Right Rear Door,5
REP000082,INSP000065,Crack,1,709.03,Left Rear Fender,5
REP000083,INSP000065,Bumper Damage,1,1146.93,Right Rear Fender,5
REP000084,INSP000065,Crack,4,2630.38,Left Front Fender,1
REP000085,INSP000065,Scratch,3,563.44,Right Rear Fender,3
REP000086,INSP000065,Bumper Damage,2,2685.98,Right Front Fender,2
REP000087,INSP000066,Paint Damage,5,4575.75,Right Rear Door,3
REP000088,INSP000067,Paint Damage,3,2603.18,Left Front Door,2
REP000089,INSP000067,Scratch,4,690.4,Hood,4
REP000090,INSP000067,Scratch,3,655.76,Left Rear Fender,4
REP000091,INSP000068,Paint Damage,2,1812.98,Left Rear Fender,1
REP000092,INSP000068,Bumper Damage,4,5550.01,Right Rear Door,5
REP000093,INSP000068,Dent,3,1327.54,Left Front Fender,5
REP000094,INSP000070,Crack,5,3043.55,Front Bumper,1
REP000095,INSP000070,Rust,4,2301.45,Rear Window,5
REP000096,INSP000070,Crack,2,1290.74,Hood,5
REP000097,INSP000071,Scratch,2,423.28,Left Front Fender,1
REP000098,INSP000071,Bumper Damage,2,2489.08,Trunk,5
REP000099,INSP000071,Structural Damage,3,7448.15,Left Rear Door,3
REP000100,INSP000072,Bumper Damage,3,3108.86,Right Rear Fender,1
REP000101,INSP000072,Dent,1,413.03,Rear Bumper,5
REP000102,INSP000073,Paint Damage,5,4203.14,Right Rear Fender,3
REP000103,INSP000073,Rust,1,410.76,Right Rear Door,4
REP000104,INSP000073,Glass Damage,5,4057.4,Rear Bumper,2
REP000105,INSP000073,Paint Damage,3,2612.08,Right Front Door,4
REP000106,INSP000074,Rust,3,1265.32,Windshield,1
REP000107,INSP000074,Dent,2,851.97,Left Rear Fender,3
REP000108,INSP000075,Rust,5,2637.37,Left Rear Fender,4
REP000109,INSP000076,Bumper Damage,4,4432.13,Left Front Door,4
REP000110,INSP000076,Rust,4,1899.39,Right Rear Door,2
REP000111,INSP000078,Rust,4,2068.05,Rear Bumper,3
REP000112,INSP000078,Glass Damage,5,5327.33,Right Front Fender,5
REP000113,INSP000078,Dent,3,1260.16,Right Front Door,3
REP000114,INSP000078,Rust,1,534.4,Rear Bumper,2
REP000115,INSP000080,Bumper Damage,4,5733.02,Left Front Door,4
REP000116,INSP000080,Scratch,3,679.81,Left Front Fender,5
REP000117,INSP000081,Paint Damage,4,3055.11,Left Rear Fender,1
REP000118,INSP000081,Glass Damage,2,1668.13,Windshield,1
REP000119,INSP000081,Rust,3,1286.66,Front Bumper,2
REP000120,INSP000082,Dent,4,1323.32,Rear Window,5
REP000121,INSP000084,Structural Damage,2,5962.16,Right Front Door,4
REP000122,INSP000085,Bumper Damage,3,4086.04,Left Rear Door,2
REP000123,INSP000085,Paint Damage,1,923.4,Left Rear Door,1
REP000124,INSP000086,Scratch,4,723.46,Rear Bumper,4
REP000125,INSP000087,Bumper Damage,2,2064.58,Right Front Fender,5
REP000126,INSP000092,Scratch,5,995.74,Hood,3
REP000127,INSP000092,Scratch,4,792.51,Trunk,4
REP000128,INSP000092,Rust,2,955.03,Right Front Fender,3
REP000129,INSP000093,Dent,4,1750.29,Right Rear Fender,1
REP000130,INSP000093,Crack,1,701.79,Windshield,4
REP000131,INSP000093,Glass Damage,5,4210.6,Hood,2
REP000132,INSP000094,Dent,4,1644.78,Right Front Fender,5
REP000133,INSP000094,Rust,4,1924.39,Left Front Fender,3
REP000134,INSP000096,Paint Damage,4,3353.14,Windshield,5
REP000135,INSP000097,Bumper Damage,5,4842.61,Windshield,5
REP000136,INSP000097,Scratch,4,902.41,Left Rear Door,4
REP000137,INSP000098,Scratch,4,730.85,Front Bumper,5
REP000138,INSP000098,Scratch,2,378.14,Trunk,4
REP000139,INSP000100,Structural Damage,5,17700.32,Roof,4
REP000140,INSP000101,Structural Damage,4,11942.31,Rear Bumper,5
REP000141,INSP000101,Structural Damage,2,7075.5,Hood,5
REP000142,INSP000103,Crack,5,2472.25,Trunk,5
REP000143,INSP000104,Crack,4,2124.28,Front Bumper,5
REP000144,INSP000105,Bumper Damage,2,2845.07,Left Front Fender,4
REP000145,INSP000105,Crack,5,3340.77,Roof,1
REP000146,INSP000105,Glass Damage,1,832.16,Trunk,3
REP000147,INSP000106,Glass Damage,1,803.77,Front Bumper,2
REP000148,INSP000106,Paint Damage,5,3894.97,Left Rear Fender,5
REP000149,INSP000106,Bumper Damage,2,2581.45,Rear Window,1
REP000150,INSP000106,Crack,5,3266.41,Right Front Fender,3
REP000151,INSP000108,Bumper Damage,5,5539.34,Roof,1
REP000152,INSP000109,Rust,5,2942.71,Trunk,1
REP000153,INSP000109,Crack,1,556.16,Right Front Fender,3
REP000154,INSP000109,Rust,1,435.76,Left Rear Door,3
REP000155,INSP000109,Crack,2,1358.19,Rear Bumper,1
REP000156,INSP000109,Dent,1,326.64,Left Front Door,2
REP000157,INSP000111,Crack,1,596.38,Windshield,5
REP000158,INSP000111,Crack,4,2492.54,Front Bumper,5
REP000159,INSP000112,Scratch,4,669.08,Left Rear Fender,2
REP000160,INSP000115,Rust,4,1820.41,Right Rear Door,1
REP000161,INSP000116,Dent,2,651.74,Left Rear Fender,5
REP000162,INSP000116,Dent,1,347.73,Rear Window,2
REP000163,INSP000116,Crack,2,1437.03,Roof,1
REP000164,INSP000117,Rust,4,1959.35,Left Rear Door,1
