inspection_id,vehicle_vin,inspector_id,inspection_date,location_lat,location_lon,status,duration_minutes
INSP000001,WKJAAHPMU6PFAAPBE,INS0021,2025-03-17 04:27:58.218272,37.273166,-121.993342,completed,30
INSP000002,IHVI2QDMPBA5S6ERA,INS0021,2024-05-30 20:12:44.236984,33.578106,-112.289045,completed,43
INSP000003,6ZTEFEHX2BT869595,INS0004,2024-01-11 08:28:17.114703,37.41561,-122.008271,completed,25
INSP000004,7DKEH1SDIZKA1OZK2,INS0012,2023-12-21 12:32:44.853435,29.726827,-95.480103,pending_review,35
INSP000005,UZL8NWLXHUMLBQG0G,INS0021,2024-05-24 16:48:49.415062,40.772695,-74.034072,completed,46
INSP000006,39992H0G8H1G2N4YY,INS0038,2024-08-25 05:33:16.394827,29.568262,-98.660157,completed,27
INSP000007,N4ZXDBF0LTWFHOA4Q,INS0047,2025-04-25 14:37:36.735746,37.306384,-121.913939,completed,20
INSP000008,9R5CH7030J1EGIY45,INS0001,2024-03-15 08:22:43.304773,34.075552,-118.124723,in_progress,10
INSP000009,5DBBQA9M0OU2IM8PT,INS0034,2023-10-03 19:26:23.133748,39.988317,-75.201734,completed,46
INSP000010,H3Z3O4ZSLPL5H1H1A,INS0014,2024-02-08 09:52:43.790388,40.713129,-73.949124,completed,52
INSP000011,YC4ELY1TX354PCL6D,INS0038,2025-05-21 20:44:42.634769,34.115755,-118.010624,completed,42
INSP000012,BN2OJU14X6CPYE0UY,INS0017,2023-08-18 05:12:17.146704,41.858842,-87.590824,completed,49
INSP000013,V5KGYBI9LYX72TO0A,INS0020,2024-12-25 16:44:37.824836,33.961927,-118.27127,completed,36
INSP000014,SQSFMCKKC44N0LX0S,INS0034,2023-11-18 05:41:03.423577,41.939627,-87.588903,completed,31
INSP000015,PK9JMGG9AWWALZIMZ,INS0010,2024-10-04 18:21:27.095574,33.997245,-118.317751,completed,55
INSP000016,XB4FXXW5P1ANQ0NKE,INS0003,2024-12-27 16:35:43.472559,34.037658,-118.092039,completed,34
INSP000017,KTFPOCUMDQ8NW2SH1,INS0034,2025-03-02 10:48:51.855515,32.830667,-96.727993,completed,54
INSP000018,58WSDGRJDMK612B1G,INS0046,2024-08-06 21:34:15.961183,32.969415,-96.718526,completed,20
INSP000019,F9MRH3SPFK4OXCEG6,INS0016,2024-08-27 23:15:42.099358,29.352896,-98.60182,in_progress,16
INSP000020,94EZ244HAOU07LFUY,INS0008,2025-05-04 23:06:51.538876,39.819377,-75.415273,completed,50
INSP000021,D3J5TFT00IVNN1XZF,INS0022,2024-07-07 18:35:41.936682,34.104122,-118.250295,completed,48
INSP000022,23C4DX76V6A0LHLOG,INS0021,2025-01-11 16:32:21.785989,34.156748,-118.197583,pending_review,30
INSP000023,H3Z3O4ZSLPL5H1H1A,INS0043,2025-07-12 15:23:24.105653,40.838197,-74.098927,completed,20
INSP000024,Y81B9G4W9UT6KFAG2,INS0002,2024-04-26 06:53:33.662103,40.72534,-74.032038,completed,57
INSP000025,NWWO198LHMKQOE5F9,INS0044,2024-09-16 02:43:41.554557,32.463557,-117.156716,completed,47
INSP000026,TJKP1ADIJ8V7OBRF0,INS0047,2025-01-10 19:52:21.158306,37.237483,-121.621468,completed,56
INSP000027,CSWLQ0UT190L9DX1P,INS0044,2023-12-25 19:31:11.305245,29.272947,-98.523036,completed,34
INSP000028,HCCZTL3K6YD0I2GVI,INS0020,2023-07-27 21:29:45.689658,32.654663,-96.782221,failed,31
INSP000029,MD6OXVIQQELA7OOWG,INS0047,2024-12-27 15:09:51.044704,32.694595,-96.747243,pending_review,17
INSP000030,EFHCZPY3GGP7UBX47,INS0001,2024-09-12 04:30:18.439263,37.283492,-121.996708,completed,37
INSP000031,UC55CS141X4IQMN1Z,INS0026,2024-09-26 21:26:35.065473,40.626104,-73.974812,completed,43
INSP000032,CC736VZG4Q9SNZOSW,INS0027,2024-08-16 21:17:35.506642,39.967897,-75.204135,completed,27
INSP000033,1O584BHQNSFQHMG4Z,INS0012,2025-04-05 05:36:30.027494,33.328562,-112.015253,completed,26
INSP000034,3LIMYT23BX5AJVDNC,INS0050,2025-05-21 07:29:09.138502,33.669833,-112.167101,failed,28
INSP000035,OJUMK3331485QJC5R,INS0014,2024-04-11 12:46:00.008161,41.970604,-87.518545,completed,33
INSP000036,55QBCGCP1ZRPM1CNY,INS0009,2024-03-20 18:19:50.394000,41.644262,-87.609,failed,27
INSP000037,NLQUSX52810X9YB96,INS0029,2025-03-12 02:49:14.535974,29.466475,-98.541035,completed,49
INSP000038,92PJX8XSDI2MX6496,INS0034,2025-03-14 19:45:55.968608,33.565755,-112.112827,failed,33
INSP000039,8JRJXRGD52FAOXGA0,INS0024,2024-01-24 00:35:27.983178,32.825283,-117.180595,pending_review,18
INSP000040,CKVMHC7YBYF48ZROX,INS0005,2025-04-26 18:45:51.307316,29.543248,-98.517871,in_progress,24
INSP000041,IHL16YH91DJNICU4Q,INS0020,2024-02-26 13:37:28.715579,41.931077,-87.740353,pending_review,32
INSP000042,25EXEEPXD0IQCGNAY,INS0048,2024-01-20 12:39:17.831816,41.825449,-87.740676,completed,35
INSP000043,8K0NSXBIMV96VP769,INS0001,2023-12-05 15:20:50.905499,32.949691,-96.86104,completed,32
INSP000044,EVO10FTIEPTQN34OY,INS0045,2024-06-07 15:07:43.307427,40.662514,-74.155925,pending_review,31
INSP000045,KY1RB80WPIRPMSGT7,INS0002,2024-07-15 19:48:46.701645,40.734392,-73.999379,failed,20
INSP000046,Z8ECROUUL74A5M85S,INS0016,2023-10-24 05:23:52.403059,40.734863,-74.200547,failed,19
INSP000047,ZK0WXQVQQJ03EILIA,INS0020,2024-05-15 14:18:58.133235,33.641366,-111.971955,completed,28
INSP000048,OJFR3R299JNQE0JJ6,INS0013,2023-12-28 00:33:56.545478,32.824296,-117.159478,completed,52
INSP000049,ZCHTXFGDYDEYO11B0,INS0044,2024-09-23 23:52:46.946786,37.301626,-121.798203,completed,39
INSP000050,EKTO4XSUPTUABQIJU,INS0037,2024-05-02 19:33:58.265364,29.738016,-95.238141,failed,26
INSP000051,9LYZP2NC9EQGNWI0U,INS0006,2025-03-29 21:46:50.016876,33.496506,-111.972063,completed,38
INSP000052,A2TENFY129O6NL62H,INS0017,2023-12-30 16:50:21.064388,34.118558,-118.234442,completed,53
INSP000053,2G83MAAY1T76798GU,INS0031,2024-11-01 12:25:13.966340,33.497772,-111.938602,completed,36
INSP000054,IHYVMT1ZI1UP599AI,INS0040,2024-12-28 02:48:33.157538,37.537019,-122.005438,failed,39
INSP000055,OWSH2F64E21L1ZILN,INS0019,2023-09-17 01:50:38.944130,32.821073,-96.828725,completed,51
INSP000056,G8SCZ23ZBGL57AL0E,INS0026,2024-11-30 19:21:28.035653,32.741564,-96.93209,completed,50
INSP000057,X3ZSGOQ7MJD28QX4U,INS0025,2025-01-04 20:43:11.095228,40.950409,-74.065706,completed,52
INSP000058,XHQLUBL04WXBHWF6D,INS0034,2024-08-05 12:19:06.509775,32.71184,-117.108916,completed,37
INSP000059,JADKQNQ6O0Y8CLJYQ,INS0015,2024-11-18 08:46:01.770283,41.898156,-87.564166,pending_review,18
INSP000060,XHQLUBL04WXBHWF6D,INS0027,2024-01-18 09:52:54.827278,32.946656,-96.810153,completed,23
INSP000061,RGE0AX1B8BEC9ZK7F,INS0036,2024-03-31 12:35:36.521914,34.095869,-118.25645,completed,32
INSP000062,907COASJJOBO7KL5Z,INS0022,2023-09-10 10:46:25.230234,40.722506,-73.742969,completed,57
INSP000063,16XH190TO04XUAM1Q,INS0020,2023-09-27 17:50:20.141675,34.130542,-118.294399,completed,40
INSP000064,KY1RB80WPIRPMSGT7,INS0027,2025-07-02 07:41:41.665260,29.87265,-95.442001,completed,45
INSP000065,ESG71WLR6QPGIGRL7,INS0032,2024-02-16 02:53:46.364200,33.287578,-111.951517,completed,46
INSP000066,DYLKF4UFSDRDIAAOZ,INS0002,2024-10-28 07:37:53.507008,32.749603,-96.8015,completed,33
INSP000067,V3H3THIB2X0NE8Q57,INS0019,2023-12-01 04:53:04.920639,41.863923,-87.563164,completed,52
INSP000068,KLVR4R93FQXXTY6E5,INS0015,2023-11-25 01:14:31.235633,41.923005,-87.632582,completed,38
INSP000069,WTWKF7K1E4MJ466TU,INS0028,2023-10-15 08:52:40.553851,40.568113,-73.86902,completed,45
INSP000070,WNLPR6HI4GZT820C2,INS0020,2025-05-30 05:08:48.312679,29.738567,-95.14601,completed,31
INSP000071,PDTL48YO4GJLOF29W,INS0021,2024-08-04 23:19:21.983375,39.994714,-75.048753,completed,30
INSP000072,IVT2SJ6CAJNOL40T1,INS0006,2025-02-26 11:12:56.062885,41.870454,-87.519285,completed,24
INSP000073,HM4VSN6TLMT8XE0N9,INS0049,2024-06-04 07:03:13.175735,37.230539,-121.991731,completed,38
INSP000074,HW7JWSVFITX20JKRQ,INS0033,2025-07-14 00:02:42.759029,29.825067,-95.147785,completed,49
INSP000075,3QCSFIRG5OEK69YWY,INS0048,2024-05-04 08:27:38.642333,34.065421,-118.331077,completed,32
INSP000076,331AH438GZFD81CGK,INS0029,2025-07-07 20:04:33.409544,32.796613,-96.932558,completed,49
INSP000077,374D1QQI9PVUJJT7F,INS0019,2023-07-31 10:30:49.753338,33.977471,-118.148067,pending_review,19
INSP000078,2LGKDKOXMLJ8L6XJD,INS0018,2023-11-10 16:45:10.604877,40.775058,-74.073267,completed,58
INSP000079,6DGKS27H10X7O7B7Q,INS0027,2024-02-18 08:55:32.556290,29.869643,-95.379898,completed,40
INSP000080,KEONY61ZXXMEM0TPL,INS0048,2025-06-19 00:13:59.317693,37.364258,-121.852279,completed,46
INSP000081,QWRSDI6F8WW2VRIR4,INS0040,2024-08-31 08:17:29.288632,40.020363,-75.157902,completed,36
INSP000082,3RPAGF3O4BZOO543R,INS0025,2023-09-26 05:08:17.474892,34.037238,-118.128663,completed,55
INSP000083,TUXDCE6Z0695PTJI8,INS0023,2025-02-01 14:15:14.245018,29.41299,-98.415151,completed,32
INSP000084,YEIFBEDM8PN8ZZYIU,INS0018,2023-11-24 09:09:59.737197,29.77148,-95.26407,completed,38
INSP000085,YR590OZ8GU2RT6EVV,INS0021,2025-01-11 00:14:03.386731,29.232742,-98.579159,completed,55
INSP000086,Q49QUWR01E8KKG6IV,INS0037,2023-11-02 11:23:55.350965,33.424711,-111.874437,completed,28
INSP000087,AAX0OQRJBQBWVRTPD,INS0042,2023-11-29 22:54:12.177303,32.758234,-117.23102,completed,44
INSP000088,IHVI2QDMPBA5S6ERA,INS0035,2024-09-09 18:40:20.235963,34.151113,-118.398554,failed,24
INSP000089,TJKP1ADIJ8V7OBRF0,INS0045,2024-03-19 12:46:55.077527,40.722597,-74.0646,completed,49
INSP000090,TFSIZTH8ZRKQIZ1MH,INS0010,2023-12-01 09:16:56.695032,40.008483,-75.190608,completed,40
INSP000091,0RXACDVS1HWPK6TUW,INS0041,2024-02-17 23:21:31.303903,40.89678,-74.021497,failed,39
INSP000092,6JHRMPFZZRVHX2R05,INS0028,2024-10-23 15:20:02.865693,41.70664,-87.793217,completed,50
INSP000093,8K0NSXBIMV96VP769,INS0010,2024-05-27 17:05:18.033377,29.701352,-95.463022,completed,36
INSP000094,ERQI3SS8E57NDU55X,INS0036,2024-05-11 22:37:40.145035,29.458982,-98.474581,completed,58
INSP000095,5EIJM3OHGD78DGFUN,INS0001,2025-03-17 05:26:14.395842,33.924948,-118.388767,pending_review,17
INSP000096,7IP8G93XQXSJIS4IL,INS0009,2025-06-04 16:00:05.580333,32.897043,-117.159323,completed,21
