vin,make,model,year,body_type,current_mileage,market_value
GZMIWGFQUIKW3XL8C,Kia,Sorento,2022,Convertible,134564,48608
MSME53UD5BVHQVG9Q,Kia,Sorento,2010,Coupe,27859,-3523
23C4DX76V6A0LHLOG,Hyundai,Santa Fe,2016,Van,119378,11322
WSQL4TXZ9QQ9BTF1T,Mercedes-Benz,GLE,2015,Hatchback,41071,4915
EVO2249GGWEYW7MIO,Mercedes-Benz,C-Class,2016,Hatchback,80976,19147
9K8J3F9UMBODL10Z7,Subaru,Crosstrek,2021,Truck,29578,13087
9UHYJO49ZD9I1UY3G,Volkswagen,Tiguan,2016,Hatchback,56157,9702
EPYL0R3KVXNX3K5Z9,Hyundai,Sonata,2015,Truck,53039,15884
ZQGQ016KC973WZU9V,Subaru,Ascent,2021,Van,50160,15025
NKWKDR3KGPKFAWZGC,Chevrolet,Camaro,2019,Truck,46414,24619
QNWBI7HEH6JFRCI0X,Jeep,Cherokee,2023,SUV,16418,24669
FP39WPT2UFC4D9P7N,Volkswagen,Jetta,2017,SUV,99132,21181
3F1P0BH4VPPQD51D5,Kia,Sorento,2015,Sedan,140390,14700
HW7JWSVFITX20JKRQ,Volkswagen,Tiguan,2021,SUV,34132,30800
UJW4PTQHDE6EKAIF2,Chevrolet,Malibu,2020,Coupe,113296,32128
BHWSXSBKSJB9NERF2,Mercedes-Benz,GLC,2016,Hatchback,58080,18016
89WB196LZ30TC3E7V,Mercedes-Benz,GLC,2022,Hatchback,69882,13256
I346Q7Q98JBOAY3JF,Chevrolet,Camaro,2013,Coupe,89059,2830
0JV9RK1C6IX9Z9SQY,Jeep,Cherokee,2016,Coupe,14121,12721
YTDHLKX5G0IHXEG0X,Jeep,Wrangler,2010,Sedan,138127,-7078
6X6090V7WR8W8OGKJ,GMC,Terrain,2019,Truck,100992,9276
87HC0Z8FPG9DKZ06T,Ram,3500,2014,Convertible,51636,10692
9C7EIVU7BQAUUG4PM,Ford,Fusion,2018,Van,133282,29522
25EXEEPXD0IQCGNAY,Hyundai,Sonata,2023,Convertible,30986,19402
KAY9OJQD82O7IU68N,Volkswagen,Passat,2021,Van,46769,16283
BX711P11WPJ157879,Ram,3500,2016,Convertible,147499,11645
X8QZAWCKFY6AWTCI8,Ford,Fusion,2014,Van,48159,9571
S8P7Z09YXOM7A6D58,Toyota,RAV4,2024,Coupe,101666,44977
J035ZVQAEG3S3G7TC,Nissan,Altima,2023,Coupe,144384,25849
4VY3IUH30ZBWKOZQK,Kia,Sorento,2016,Truck,30921,11116
QEH49JYPHLB88Z20Y,Honda,Civic,2017,SUV,112212,7641
V2XNC310J75QH1Q0Z,Ram,ProMaster,2013,Convertible,69151,4153
I14CV0EQWAJ83LMK2,Honda,Accord,2023,Convertible,61630,51150
0K1MM7RGFGVVTXIGD,Chevrolet,Equinox,2024,SUV,84158,27265
O3YEEF4403122AICX,Mazda,Mazda3,2024,Van,16598,24440
F6VOLHUP3VVHTFWOS,Volkswagen,Golf,2022,Van,54683,48430
2WEN03AKJRVR5SIWI,Chevrolet,Silverado,2012,SUV,55150,1358
1UFUOYHP6WUGEZSR0,Mercedes-Benz,C-Class,2015,Coupe,95087,12464
C4FEZM0N2Q827RUW5,GMC,Canyon,2011,Truck,133404,-1924
9M4AUBCC8L3Z38LZW,Chevrolet,Silverado,2013,Sedan,39611,2342
XB4FXXW5P1ANQ0NKE,Mercedes-Benz,GLC,2014,Coupe,42175,8516
V0N528DU1JAN26ETW,Mazda,Mazda3,2017,Hatchback,101952,15089
EV7QLJW3Q1J7DXRB6,Hyundai,Santa Fe,2021,Coupe,134034,23691
BHE8GQDVIFPOR8473,Nissan,Sentra,2010,SUV,117824,-2390
9TP5YX9P7S9PL8RNY,Jeep,Grand Cherokee,2017,Truck,142160,13264
TRB0RT6JTUTE0R3F9,Mazda,CX-9,2015,Sedan,53045,11291
FN7OMYI5VX80OI9L1,Jeep,Wrangler,2013,Convertible,118972,6767
1MPVU223C1N39NRGH,Chevrolet,Equinox,2019,Van,35561,11410
1NRZNHPGSL2GEBOKX,Volkswagen,Atlas,2024,SUV,86689,54629
AVK3AVFOBAF0BAYAT,Nissan,Pathfinder,2014,Truck,45756,6090
SEKHO7Z1ACZWAN535,Chevrolet,Silverado,2011,Hatchback,104997,-1231
DFH5N6KSJFVMYOXM2,Mercedes-Benz,GLE,2021,SUV,129067,12002
COZL6EKMMB5IR09AU,Ram,2500,2023,Van,28387,35321
LD87TPQEJ52MQR5GW,Ram,2500,2010,Van,108914,-5487
S8CUFFJ16NG1XI3G4,Honda,Pilot,2012,Van,57558,1455
LKGNKXXT5311D6Y0W,Toyota,Camry,2015,Sedan,121475,8403
PU9C8S939IKENXAPT,Nissan,Altima,2010,SUV,80028,-3221
J6DF01GFRP58GTAGM,Toyota,RAV4,2018,Van,60857,16900
6C18JNMU71FI1G29D,Hyundai,Tucson,2014,Coupe,81988,5986
